"Set","Feature","Name","Mod","Mod.name","Covar","Intrxn.pval"
"KOs","K03696","clpC; ATP-dependent Clp protease ATP-binding subunit ClpC",NA,NA,"L_Vis4",3.53147519496175e-21
"KOs","K06382","spoIIE; stage II sporulation protein E [EC:3.1.3.16]",NA,NA,"L_Vis4",0.0326841535597422
"KOs","K06989","nadX, ASPDH; aspartate dehydrogenase [EC:1.4.1.21]","M00115","NAD biosynthesis, aspartate => quinolinate => NAD","L_Vis4",4.55428379863036e-07
"KOs","K11145","mrnC; mini-ribonuclease III [EC:3.1.26.-]",NA,NA,"L_Vis4",0.000722463912075484
"KOs","K18704","tarL; CDP-ribitol ribitolphosphotransferase / teichoic acid ribitol-phosphate polymerase [EC:2.7.8.14 2.7.8.47]",NA,NA,"L_Vis4",2.98695756838295e-05
"KOs","K21903","cadC, smtB; ArsR family transcriptional regulator, lead/cadmium/zinc/bismuth-responsive transcriptional repressor",NA,NA,"L_Vis4",0.0400230076502351
"KOs","K17363","urdA; urocanate reductase [EC:1.3.99.33]",NA,NA,"P_Cross",0.0373787922690122
"KOs","K00675","nhoA; N-hydroxyarylamine O-acetyltransferase [EC:2.3.1.118]",NA,NA,"P_TargetQ",9.60755293605219e-18
"KOs","K01142","E3.1.11.2, xthA; exodeoxyribonuclease III [EC:3.1.11.2]",NA,NA,"P_TargetQ",2.21177205736945e-11
"KOs","K02192","bfd; bacterioferritin-associated ferredoxin",NA,NA,"P_TargetQ",1.08726582747691e-07
"KOs","K02198","ccmF; cytochrome c-type biogenesis protein CcmF",NA,NA,"P_TargetQ",3.9858870561903e-36
"KOs","K03317","TC.CNT; concentrative nucleoside transporter, CNT family",NA,NA,"P_TargetQ",2.34933635547366e-07
"KOs","K03558","cvpA; membrane protein required for colicin V production",NA,NA,"P_TargetQ",9.43614667340736e-17
"KOs","K09117","K09117; uncharacterized protein",NA,NA,"P_TargetQ",0.000498147852274352
"KOs","K10237","thuF, sugA; trehalose/maltose transport system permease protein",NA,NA,"P_TargetQ",0.00173797968935997
"KOs","K12234","cofE; coenzyme F420-0:L-glutamate ligase / coenzyme F420-1:gamma-L-glutamate ligase [EC:6.3.2.31 6.3.2.34]","M00378","F420 biosynthesis, archaea","P_TargetQ",3.11605977386378e-11
"KOs","K18815","aac6-I; aminoglycoside 6'-N-acetyltransferase I [EC:2.3.1.82]",NA,NA,"P_TargetQ",1.99117406965572e-47
"KOs","K19171","dndD; DNA sulfur modification protein DndD",NA,NA,"P_TargetQ",3.92312288099085e-09
"KOs","K02794","manX; mannose PTS system EIIAB component [EC:2.7.1.191]",NA,NA,"P_Time",0.00316308114100783
"KOs","K03753","mobB; molybdopterin-guanine dinucleotide biosynthesis adapter protein",NA,NA,"P_Time",0.0244512351175325
"KOs","K07714","atoC; two-component system, NtrC family, response regulator AtoC",NA,NA,"SS_Vis",0.0424754054672865
