"bile_acid","behavior","term","Estimate","Std.Error","FDR"
"var001","P_Cross","DietTXN",-3.21702068070084,0.734932119220193,0.0486111122884061
"var002","P_Cross","DietTXN",-3.25022781273782,0.616017564810392,0.00926810168887363
