Sample.Name	richness	shannon	Sample.ID	Total.Abundance	class.rate	goods	Classified.Sequences	Processed.Reads
32	12198	7.54521609591175	1	469567.306686029	0.3954671	0.999509440861199	3954671	10000000
33	12208	7.48003518241625	1	143565.806470442	0.1264622	0.998061080702376	1264622	10000000
21	12499	7.48499609302447	1	415517.96640535	0.3560245	0.999419141098436	3560245	10000000
7	12671	7.5802188007459	1	400316.715544103	0.339868	0.999373286099309	3398680	10000000
26	13262	7.65241099340625	1	211691.547335152	0.1831355	0.998715158994297	1831355	10000000
17	12620	7.5257221757628	1	448270.836742868	0.3763235	0.999450207069184	3763235	10000000
2	11689	7.54003644975539	1	407640.840348003	0.3402289	0.99946183290132	3402289	10000000
1	12246	7.51149575654819	1	466847.395374578	0.3878367	0.999519901030511	3878367	10000000
18	12810	7.55661035428318	1	364066.439086014	0.3151336	0.999308864557762	3151336	10000000
30	13415	7.54509579123095	1	236050.939966288	0.2012651	0.998846297743623	2012651	10000000
16	12449	7.51244671298603	1	450771.179218853	0.3746702	0.999495556358632	3746702	10000000
44	13083	7.5856937143407	1	443564.052714159	0.3751736	0.999407740843172	3751736	10000000
27	12732	7.4795954006476	1	366634.771916583	0.2979452	0.999294165504261	2979452	10000000
25	12015	7.37813885595131	1	470712.574299288	0.3760887	0.999534418343332	3760887	10000000
28	13034	7.64297107387163	1	224014.760148028	0.1985733	0.998760155569757	1985733	10000000
40	11764	7.3733493383322	1	467261.509814136	0.3798414	0.999508742332984	3798414	10000000
20	12108	7.57461769420622	1	460296.955206013	0.3910992	0.999507797510197	3910992	10000000
14	13763	7.6015324064352	1	294043.28184559	0.2497674	0.999096759625155	2497674	10000000
24	12381	7.54624481087561	1	479050.721227716	0.39532	0.999499139937266	3953200	10000000
10	12209	7.5549997322567	1	323303.024367306	0.2766952	0.999208515362753	2766952	10000000
31	12446	7.44093846812079	1	480832.219692097	0.3997878	0.999502235936164	3997878	10000000
35	11427	7.39840755179449	1	407937.804943992	0.3380494	0.999484986513805	3380494	10000000
11	12517	7.52950949047197	1	445790.906824913	0.3758933	0.999478575436168	3758933	10000000
48	13507	7.5996081882844	1	459071.232147858	0.3832694	0.999435645005837	3832694	10000000
22	12208	7.44598032860456	1	400879.718254756	0.338481	0.999415919948239	3384810	10000000
42	13500	7.64732731680612	1	121938.503305046	0.1139843	0.997840053410864	1139843	10000000
46	12775	7.58039989971125	1	470256.210112904	0.4005314	0.999458968760002	4005314	10000000
23	12317	7.51795580775438	1	437318.349520937	0.3693353	0.999473919768839	3693353	10000000
13	12418	7.51552468795643	1	467654.600213127	0.3849341	0.999492380643856	3849341	10000000
29	12566	7.51554618275419	1	428882.941581034	0.36483	0.999391223309487	3648300	10000000
6	12651	7.57097878588125	1	289095.271673737	0.2449706	0.99910070841154	2449706	10000000
39	12439	7.42811884687142	1	450799.080971631	0.3609013	0.99943391725106	3609013	10000000
3	12824	7.54260893291739	1	357939.265574073	0.2956661	0.999288048240904	2956661	10000000
36	12042	7.50185726606209	1	474465.04066035	0.3876627	0.999546255030468	3876627	10000000
9	12867	7.55562873278501	1	387309.569162417	0.3326748	0.999336288772098	3326748	10000000
12	13662	7.54754248924797	1	386621.817723047	0.3216061	0.999330236584443	3216061	10000000
41	12094	7.43539299694389	1	461763.420229215	0.3780407	0.99951407348468	3780407	10000000
15	12933	7.55824700122385	1	318321.381690692	0.2653353	0.999152393217186	2653353	10000000
38	12737	7.53718701210302	1	153687.997670879	0.1309433	0.998147289704781	1309433	10000000
8	12447	7.54608150603379	1	385942.308311317	0.326011	0.9993448073838	3260110	10000000
4	12595	7.57334230242875	1	470008.669918411	0.3942725	0.99948335225003	3942725	10000000
34	11966	7.40218535043365	1	371696.715282335	0.3097936	0.999328262430212	3097936	10000000
45	13068	7.4670778415519	1	434910.701346908	0.3656948	0.999409616981155	3656948	10000000
37	10766	7.54442074931453	1	457542.455087708	0.3750943	0.999565709209657	3750943	10000000
43	12645	7.47447491082511	1	342380.669707653	0.2840814	0.9992400065615	2840814	10000000
19	13115	7.55558223722184	1	431610.037991583	0.3684707	0.999408365441268	3684707	10000000
5	12507	7.53506397955365	1	445749.075482574	0.3772471	0.999472759366474	3772471	10000000
