KO number	p-value	Label	Tissue sample	KO name	Description
K03563	1.95E-07	C16 ceramide	brain	csrA; carbon storage regulator	NA
K03574	3.62E-06	C24 ceramide	liver	"mutT, NUDT15, MTH2; 8-oxo-dGTP diphosphatase [EC:3.6.1.55]"	NA
K03647	1.65E-215	C18 ceramide	liver	nrdI; protein involved in ribonucleotide reduction	NA
K03693	6.51E-46	C16 ceramide	liver	pbp1b; penicillin-binding protein 1B	NA
K03734	8.83E-37	C18 ceramide	brain	apbE; FAD:protein FMN transferase [EC:2.7.1.180]	NA
K05520	0.011027427	C24 ceramide	brain	pfpI; protease I [EC:3.5.1.124]	NA
K05795	2.20E-08	C20 ceramide	liver	terD; tellurium resistance protein TerD	NA
K05799	3.37E-55	C22:1 ceramide	brain	"pdhR; GntR family transcriptional regulator, transcriptional repressor for pyruvate dehydrogenase complex"	NA
K05919	0.003316273	C22 ceramide	liver	dfx; superoxide reductase [EC:1.15.1.2]	NA
K06158	0.000572553	C16 ceramide	brain	"ABCF3; ATP-binding cassette, subfamily F, member 3"	NA
K06317	0.007249852	C24 ceramide	liver	bofA; inhibitor of the pro-sigma K processing machinery	NA
K06714	2.40E-48	C18 ceramide	brain	rocR; arginine utilization regulatory protein	NA
K06894	9.71E-32	C24 ceramide	brain	yfhM; alpha-2-macroglobulin	NA
K06907	0.024072433	C20 ceramide	liver	K06907; uncharacterized protein	NA
K06958	4.31E-14	C22:1 ceramide	brain	rapZ; RNase adapter protein RapZ	NA
K07034	3.04E-186	C24 ceramide	liver	K07034; uncharacterized protein	NA
K07120	1.64E-07	C22 ceramide	liver	K07120; uncharacterized protein	NA
K07221	7.77E-07	C22:1 ceramide	brain	oprO_P; phosphate-selective porin OprO and OprP	NA
K07308	0.000208724	C18 ceramide	brain	dmsC; anaerobic dimethyl sulfoxide reductase subunit C	NA
K07309	4.43E-13	C24 ceramide	brain	ynfE; Tat-targeted selenate reductase subunit YnfE [EC:1.97.1.9]	NA
K07685	3.08E-10	C22:1 ceramide	brain	"narP; two-component system, NarL family, nitrate/nitrite response regulator NarP"	NA
K07714	0.032826228	C24:1 ceramide	brain	"atoC; two-component system, NtrC family, response regulator AtoC"	NA
K07714	1.14E-220	C16 ceramide	liver	"atoC; two-component system, NtrC family, response regulator AtoC"	NA
K02990	0	C18 ceramide	liver lipidomics	"RP-S6, MRPS6, rpsF; small subunit ribosomal protein S6"	NA
K13979	0	C18 ceramide	liver lipidomics	yahK; alcohol dehydrogenase (NADP+) [EC:1.1.1.2]	NA
K08305	0	C18 ceramide	liver lipidomics	mltB; membrane-bound lytic murein transglycosylase B [EC:4.2.2.-]	NA
K02335	0	C18 ceramide	liver lipidomics	polA; DNA polymerase I [EC:2.7.7.7]	NA
K07719	1.81E-126	C16 ceramide	liver	"glnL; two-component system, response regulator GlnL"	NA
K08298	0.011737402	C24:1 ceramide	brain	caiB; L-carnitine CoA-transferase [EC:2.8.3.21]	NA
K00548	0	C18 ceramide	liver lipidomics	"metH, MTR; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]"	"Methionine biosynthesis, aspartate => homoserine => methionine"
K08676	2.20E-08	C20 ceramide	liver	tri; tricorn protease [EC:3.4.21.-]	NA
K03580	0	C18 ceramide	liver lipidomics	hepA; ATP-dependent helicase HepA [EC:5.6.2.-]	NA
K09131	7.00E-08	C18 ceramide	liver	K09131; uncharacterized protein	NA
K09815	0.002273821	C24 ceramide	liver	znuA; zinc transport system substrate-binding protein	NA
K09835	9.39E-167	C22:1 ceramide	brain	"crtISO, crtH; prolycopene isomerase [EC:5.2.1.13]"	"beta-Carotene biosynthesis, GGAP => beta-carotene"
K10212	1.40E-31	C16 ceramide	brain	"K10212, crtO; glycosyl-4,4'-diaponeurosporenoate acyltransferase [EC:2.3.1.-]"	NA
K10536	1.92E-05	C22:1 ceramide	brain	aguA; agmatine deiminase [EC:3.5.3.12]	NA
K10547	0.018141803	C20 ceramide	liver	gguB; putative multiple sugar transport system permease protein	NA
K11183	0.015695352	C22 ceramide	brain	"fruB, fpr; multiphosphoryl transfer protein [EC:2.7.1.202]"	NA
K12267	2.10E-20	C22:1 ceramide	brain	msrAB; peptide methionine sulfoxide reductase msrA/msrB [EC:1.8.4.11 1.8.4.12]	NA
K13290	3.45E-136	C22:1 ceramide	brain	K13290; serine---pyruvate transaminase [EC:2.6.1.51]	NA
K13963	2.00E-61	C18 ceramide	brain	SERPINB; serpin B	NA
K14645	1.01E-05	C22 ceramide	liver	K14645; serine protease [EC:3.4.21.-]	NA
K15383	4.18E-11	C24 ceramide	brain	K15383; MtN3 and saliva related transmembrane protein	NA
K15739	4.83E-24	C18 ceramide	brain	"vanB, vanA, vanD; D-alanine---(R)-lactate ligase [EC:6.1.2.1]"	"Vancomycin resistance, D-Ala-D-Lac type"
K16950	5.63E-111	C24 ceramide	liver	asrA; anaerobic sulfite reductase subunit A	NA
K17204	0.018208636	C20 ceramide	brain	eryE; erythritol transport system ATP-binding protein	NA
K17242	0.001704607	C20 ceramide	liver	"aguF; alpha-1,4-digalacturonate transport system permease protein"	NA
K17733	4.78E-37	C22:1 ceramide	brain	cwlK; peptidoglycan LD-endopeptidase CwlK [EC:3.4.-.-]	NA
K17899	7.17E-09	C20 ceramide	liver	"oraS; D-ornithine 4,5-aminomutase subunit alpha [EC:5.4.3.5]"	NA
K18095	2.01E-32	C22:1 ceramide	brain	"mexY, amrB; multidrug efflux pump"	"Multidrug resistance, efflux pump MexXY-OprM"
K06959	0	C24 ceramide	liver lipidomics	tex; protein Tex	NA
K18475	2.05E-57	C24 ceramide	brain	fliB; lysine-N-methylase [EC:2.1.1.-]	NA
K18930	0.030488436	C20 ceramide	liver	dld; D-lactate dehydrogenase	NA
K19302	3.78E-73	C18 ceramide	brain	bcrC; undecaprenyl-diphosphatase [EC:3.6.1.27]	NA
K20268	5.44E-06	C22 ceramide	brain	rhiA; rhizosphere induced protein	NA
K20268	2.03E-18	C24 ceramide	brain	rhiA; rhizosphere induced protein	NA
K20989	0.029298766	C20 ceramide	liver	DUR3; urea-proton symporter	NA
K21401	0.000765777	C24 ceramide	brain	menJ; menaquinone-9 beta-reductase [EC:1.3.99.38]	NA
K22044	1.98E-178	C16 ceramide	liver	ybiO; moderate conductance mechanosensitive channel	NA
K22224	1.62E-99	C16 ceramide	brain	acdB; acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]	NA
K22224	3.67E-38	C18 ceramide	brain	acdB; acetate---CoA ligase (ADP-forming) subunit beta [EC:6.2.1.13]	NA
K22299	0.000147507	C16 ceramide	brain	"rghR; HTH-type transcriptional regulator, competence development regulator"	NA
K07469	0	C24 ceramide	liver lipidomics	mop; aldehyde oxidoreductase [EC:1.2.99.7]	NA
